20180831-20180916-cccc-1-rapid-rumble-15+5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
20210924-20211009-ccc-chess-960-blitz-championship-5-5.pgn: CCC Chess 960 Blitz Championship (5|5)
20211009-20211017-ccc-chess-960-blitz-championship-semifinals-5-5.pgn: CCC Chess 960 Blitz Championship: Semifinals (5|5)
20211017-20211025-ccc-chess-960-blitz-championship-finals-5-5.pgn: CCC Chess 960 Blitz Championship: Finals (5|5)
20211025-20211101-ccc-16-rapid-qualification-15-3.pgn: CCC 16 Rapid: Qualification (15|3)
20211101-20211108-ccc-16-rapid-main-15-3.pgn: CCC 16 Rapid: Main (15|3)
20211108-20211115-ccc-16-rapid-semifinals-15-3.pgn: CCC 16 Rapid: Semifinals (15|3)
20211115-20211123-ccc-16-rapid-finals-15-3.pgn: CCC 16 Rapid: Finals (15|3)
20211123-20211201-ccc-16-rapid-runners-up-15-3.pgn: CCC 16 Rapid: Runners-up (15|3)
20211201-20211209-ccc-16-bullet-qualification-2-1.pgn: CCC 16 Bullet: Qualification (2|1)
20211209-20211218-ccc-16-bullet-main-2-1.pgn: CCC 16 Bullet: Main (2|1)
20211218-20211227-ccc-16-bullet-semifinals-2-1.pgn: CCC 16 Bullet: Semifinals (2|1)
20211227-20220106-ccc-16-bullet-finals-2-1.pgn: CCC 16 Bullet: Finals (2|1)
20220109-20220115-ccc-16-blitz-qualification-5-5.pgn: CCC 16 Blitz: Qualification (5|5)
20220115-20220123-ccc-16-blitz-main-5-5.pgn: CCC 16 Blitz: Main (5|5)
20220123-20220130-ccc-16-blitz-semifinals-5-5.pgn: CCC 16 Blitz: Semifinals (5|5)
20220131-20220208-ccc-16-blitz-challenger-5-5.pgn: CCC 16 Blitz: Challenger (5|5)
20220208-20220215-ccc-16-blitz-finals-5-5.pgn: CCC 16 Blitz: Finals (5|5)
20220220-20220227-ccc-17-rapid-qualification-15-3.pgn: CCC 17 Rapid: Qualification (15|3)
20220227-20220306-ccc-17-rapid-main-15-3.pgn: CCC 17 Rapid: Main (15|3)
