PLAYER	RATING
Chess4j 3.1	1973
Chess4j 3.2	2075
Chess4j 3.4.1	2088
Chess4j 3.5	2113
Chess4j 5.1	2439
Chess4j 6.0	2433
chess4j 6.1	2441
chess4j 6.2	2478
ChessAlex 2.0r4	2303
Chessatron 1.0	2973
Chessatron 1.3.14159	2995
Chessatron 1.3.14c	2986
ChessBrainVB 2.05	2708
ChessBrainVB 3.02	2790
ChessBrainVB 3.03	2872
ChessBrainVB 3.20	2868
ChessBrainVB 3.31	2915
ChessBrainVB 3.50	2962
ChessBrainVB 3.60	2939
ChessBrainVB 3.61	3037
ChessBrainVB 3.66	3038
ChessBrainVB 3.68	3063
ChessBrainVB 3.70	3048
ChessBrainVB 3.72	3077
ChessBrainVB 3.74	3077
ChessBrainVB 4.00	3107
ChessBrainVB 4.02	3173
ChessBrainVB 4.03a	3163
ChessGM 0.7.0	2589
Chessier 0.1.0	1617
Chessika 2.21	1613
Chessika 2.27	1606
ChessKISS 1.3	2070
ChessKISS 1.3a	2110
ChessKISS 1.7	2288
ChessKISS 1.7c	2272
ChessKISS 1.8	2263
ChessKISS 1.8d	2297
Chessmaster 11	2738
Chessmaster 11 Aiglos II	2757
Chessmaster 11 Archangel	2762
Chessmaster 11 Conqueror	2745
Chessmaster 11 Gil-Galad	2745
Chessmaster 11 Leonidas	2732
Chessmaster 11 Paralyse	2741
Chessmaster 11 Toxic	2741
ChessMatrix 1.0.4	2072
ChessMatrix 1.0.5	2002
ChessMatrix 1.0.6	2052
ChessMatrix 1.1.1	2195
ChessMind 0.80	2082
ChessMind 0.82	2171
Chessnix 1.0	2873
Chessnix 1.2	3029
Chessnix 1.3	3220
chessplusplus 1.0.0	2064
chessplusplus 1.2.0	2338
Chessputer revision 7	1158
ChessRikus 1.466	1765
ChessterfieldCL i5a	1984
ChessV 2.2	2110
Chezzz 1.0.3	2417
Chiron 0.8.7	2642
Chiron 1.1a	3008
Chiron 1.5	3018
Chiron 2	3054
Chiron 3.01	3090
Chiron 4	3153
Chiron 5	3222
Chispa 4.0.3	2325
Chronos 1.9.4	2538
Chronos 1.9.5	2628
Chronos 1.9.6	2639
Chronos 1.9.7	2692
Chronos 1.9.8	2747
Chronos 1.9.9	2793
Cicada 0.1	1722
Cilian 4.14	2050
Cinder 0.1.3	3501
Cinder 0.1.4	3522
Cinder 0.2.0	3547
Cinder 0.3.1	3572
Cinder 0.4.1	3590
Cinnamon 1.1c	2082
Cinnamon 1.2a	2104
Cinnamon 1.2b	2119
Cinnamon 2.0	2141
Cinnamon 2.1	2117
Cinnamon 2.2a	2195
Cinnamon 2.3	2324
Cinnamon 2.3.3	2338
Cinnamon 2.4	2459
Cinnamon 2.5	2441
CiorapBot 0.3	2115
Clarabit 1.00	2213
Clarity 2.0.0	2443
Clarity 3.0.0	3113
Clarity 4.0.0	3379
Clarity 4.1.0	3381
Clarity 5.1.0	3420
Clarity 6.0.0	3478
Clarity 7.0.0	3551
Clarity 7.2.0	3556
Clarity 8.0.0	3549
ClassicAra 0.9.0	2595
ClassicAra 0.9.3	2569
ClassicAra 0.9.5.post0	2691
ClassicAra 0.9.9	2585
Claudia 0.5	2041
Claudia 0.5.1	2056
Cleo 1	1714
Clever Girl	2258
Clockwork	3333
Clover 2.3.1	3145
Clover 2.4	3208
Clover 3.0	3268
Clover 3.1	3356
Clover 3.2.1	3393
